CP 737897, 1269, 1256, 0, 0, 1, 0, 0
CP 737997, 1269, 1260, 0, 0, 1, 0, 0
738054, 206448,46, 394, 4, 9, 494
CP 738097, 1269, 1260, 0, 0, 1, 0, 0
CP 738197, 1269, 1260, 0, 0, 1, 0, 0
738221, 206415,46, 394, 4, 9, 490
CP 738297, 1269, 1259, 0, 0, 1, 0, 0
738388, 206360,45, 394, 4, 9, 488
CP 738397, 1269, 1256, 0, 0, 1, 0, 0
CP 738497, 1269, 1259, 0, 0, 1, 0, 0
738554, 206332,46, 394, 4, 9, 488
CP 738597, 1269, 1261, 0, 0, 1, 0, 0
CP 738697, 1269, 1260, 0, 0, 1, 0, 0
738721, 206362,46, 394, 4, 9, 492
CP 738797, 1269, 1260, 0, 0, 1, 0, 0
738887, 206426,46, 394, 4, 9, 488
CP 738897, 1269, 1259, 0, 0, 1, 0, 0
CP 738997, 1269, 1260, 0, 0, 1, 0, 0
739054, 206396,47, 394, 4, 9, 490
CP 739097, 1269, 1260, 0, 0, 1, 0, 0
CP 739197, 1269, 1260, 0, 0, 1, 0, 0
739221, 206414,47, 394, 4, 9, 487
CP 739297, 1269, 1256, 0, 0, 1, 0, 0
739387, 206383,48, 394, 4, 9, 492
CP 739397, 1269, 1256, 0, 0, 1, 0, 0
CP 739497, 1269, 1260, 0, 0, 1, 0, 0
739554, 206408,47, 394, 4, 9, 494
CP 739597, 1269, 1256, 0, 0, 1, 0, 0
CP 739697, 1269, 1260, 0, 0, 1, 0, 0
739720, 206416,47, 394, 4, 9, 497
CP 739797, 1269, 1260, 0, 0, 1, 0, 0
739887, 206398,47, 394, 4, 9, 501
CP 739897, 1269, 1260, 0, 0, 1, 0, 0
CP 739997, 1269, 1256, 0, 0, 1, 0, 0
740054, 206428,47, 394, 4, 9, 502
CP 740097, 1269, 1261, 0, 0, 1, 0, 0
CP 740197, 1269, 1256, 0, 0, 1, 0, 0
740220, 206396,47, 394, 4, 9, 496
CP 740297, 1269, 1256, 0, 0, 1, 0, 0
740387, 206369,48, 394, 5, 9, 508
CP 740397, 1269, 1260, 0, 0, 1, 0, 0
CP 740497, 1269, 1256, 0, 0, 1, 0, 0
740553, 206403,48, 394, 5, 10, 496
CP 740597, 1269, 1260, 0, 0, 1, 0, 0
CP 740697, 1269, 1260, 0, 0, 1, 0, 0
740720, 206400,49, 394, 5, 10, 505
CP 740797, 1269, 1256, 0, 0, 1, 0, 0
740887, 206403,48, 394, 4, 10, 496
